Beam Num_mean,latitude,longitude,canopy_height_est,year,track
6.0,21.485548586620027,89.04524351062456,5.803367614746094,2018,gt1l
6.0,21.485626313160026,89.0452351413765,0.6026715245466435,2018,gt1l
6.0,21.48574322307508,89.04522252293553,8.851509488177783,2018,gt1l
6.0,21.485827611813455,89.04521339952858,0.5051710338624034,2018,gt1l
6.0,21.485912590202147,89.04520420326635,6.655162812353012,2018,gt1l
6.0,21.486016923855296,89.04519290602957,10.650738270953681,2018,gt1l
6.0,21.48609049149945,89.04518493934559,6.807184855054807,2018,gt1l
6.0,21.486177974188013,89.04517546933424,13.695977210283557,2018,gt1l
6.0,21.486265776170633,89.04516597197987,8.555362383308946,2018,gt1l
6.0,21.486368039126027,89.04515490805662,5.4843597412109375,2018,gt1l
6.0,21.4864505584117,89.04514600742264,16.74036483766448,2018,gt1l
6.0,21.48654213737352,89.04513618657622,0.5699047240238785,2018,gt1l
6.0,21.486640268613147,89.04512568396574,2.4297046005715117,2018,gt1l
6.0,21.48671041884624,89.04511818964349,9.656401799286378,2018,gt1l
6.0,21.48681326060944,89.04510722429829,7.4894150045153935,2018,gt1l
6.0,21.486909530994634,89.04509698137107,9.140527792050188,2018,gt1l
6.0,21.48696461086107,89.04509113011369,0.14375962887883986,2018,gt1l
6.0,21.48708900169455,89.04507794268673,8.403062968036622,2018,gt1l
6.0,21.487178365085015,89.0450684880958,14.537220881640565,2018,gt1l
6.0,21.487251764951065,89.0450607350405,9.740933145546315,2018,gt1l
6.0,21.487369818578554,89.04504828664506,7.36279296875,2018,gt1l
6.0,21.487446448871882,89.04504021888286,8.297425631752859,2018,gt1l
6.0,21.487544262764377,89.0450299338893,8.165136930105547,2018,gt1l
6.0,21.487615168549876,89.04502248759634,14.638265102475046,2018,gt1l
6.0,21.48769871333615,89.04501372215579,0.9285274506733217,2018,gt1l
6.0,21.487813638779723,89.0450016708948,10.598510744208603,2018,gt1l
6.0,21.487904001122043,89.04499220274472,9.217430114746094,2018,gt1l
6.0,21.487979736544673,89.04498427185983,4.618232046602543,2018,gt1l
6.0,21.488083379565914,89.04497342341853,13.951870781137494,2018,gt1l
6.0,21.488166654797677,89.04496470954653,10.162437438964844,2018,gt1l
6.0,21.488244697261948,89.04495654489503,13.27909469830886,2018,gt1l
6.0,21.488353073243985,89.04494520742973,16.614208220488152,2018,gt1l
6.0,21.488431008904364,89.04493705420585,8.337074278806185,2018,gt1l
6.0,21.488533145926716,89.04492636778365,0.551465070106332,2018,gt1l
6.0,21.488594240298802,89.04491997443334,17.110909214361676,2018,gt1l
6.0,21.488704639158698,89.04490841737939,5.885522207683849,2018,gt1l
6.0,21.48879074691826,89.04489940021394,4.358279926666228,2018,gt1l
6.0,21.48886460154914,89.04489166326398,9.095927782470575,2018,gt1l
6.0,21.488961443398676,89.04488152307526,16.76955767957594,2018,gt1l
6.0,21.489063895870263,89.04487076377443,0.36225605097774866,2018,gt1l
6.0,21.489159482980995,89.04486071276047,8.920753751523606,2018,gt1l
6.0,21.48925191022253,89.04485099038196,5.6770433689760935,2018,gt1l
6.0,21.489341375176657,89.04484157750679,14.402508326918152,2018,gt1l
6.0,21.489426594627083,89.04483260980123,0.30727141322919493,2018,gt1l
6.0,21.48952472965904,89.0448222822318,12.147492547241448,2018,gt1l
6.0,21.489600068808592,89.04481435310558,1.3214594523111955,2018,gt1l
6.0,21.48970342895887,89.0448034756242,13.028962063471852,2018,gt1l
6.0,21.489794862234636,89.04479385372106,16.548485786740883,2018,gt1l
6.0,21.489862406070124,89.04478674672917,16.53694891056429,2018,gt1l
6.0,21.489974667757235,89.04477493594793,8.67851217878325,2018,gt1l
6.0,21.49003689692927,89.04476838935629,3.43644793307039,2018,gt1l
6.0,21.490142130232805,89.04475732022283,8.619172913484377,2018,gt1l
6.0,21.490218960839066,89.04474922622568,0.33442211233469976,2018,gt1l
6.0,21.490314567353085,89.04473918143759,14.244313639296017,2018,gt1l
6.0,21.490402003104197,89.04473002936308,1.4179979113309644,2018,gt1l
6.0,21.490511385400175,89.04471857473789,12.82218595668823,2018,gt1l
6.0,21.490588526036877,89.04471049029361,8.492347276954348,2018,gt1l
6.0,21.490673166114554,89.0447016126979,6.416284289113875,2018,gt1l
6.0,21.490769676901,89.04469147773074,9.68946184439504,2018,gt1l
6.0,21.490851092499497,89.04468291686,14.994609306462337,2018,gt1l
6.0,21.490941103552544,89.04467343781998,5.475928077063308,2018,gt1l
6.0,21.4910409404168,89.04466290523908,10.178309301893947,2018,gt1l
6.0,21.491110842635923,89.0446555187383,16.981839860188053,2018,gt1l
6.0,21.49122306539496,89.04464363549316,15.623510031969326,2018,gt1l
6.0,21.491296806390682,89.04463581287136,8.653537354834548,2018,gt1l
6.0,21.49140706364431,89.04462409250536,10.342282392797173,2018,gt1l
6.0,21.491483834142443,89.04461595510269,16.379942006897963,2018,gt1l
6.0,21.491587899434872,89.04460482314965,11.36362273609928,2018,gt1l
6.0,21.49166697656343,89.04459630074494,18.36445066679393,2018,gt1l
6.0,21.491754912145232,89.04458681554671,3.0537966312084706,2018,gt1l
6.0,21.49185412730694,89.04457610916566,8.391011373452777,2018,gt1l
6.0,21.491939145032706,89.04456693608384,12.901455606777276,2018,gt1l
6.0,21.49202152048092,89.04455805279271,15.659031595237217,2018,gt1l
6.0,21.49211470985438,89.04454801356111,2.3954785662770988,2018,gt1l
6.0,21.492219800043443,89.04453670995917,8.033982171128137,2018,gt1l
6.0,21.492310570378585,89.04452696774314,13.78480280120587,2018,gt1l
